ts_recv,ts_event,rtype,publisher_id,instrument_id,action,side,price,size,channel_id,order_id,flags,ts_in_delta,sequence,symbol
2025-07-17T07:05:09.035793433Z,2025-07-17T07:05:09.035627674Z,160,2,1108,R,N,,0,0,0,8,0,0,ARL
2025-07-17T08:05:03.360842448Z,2025-07-17T08:05:03.360677248Z,160,2,1108,A,B,5.510000000,100,0,817593,130,165200,851012,ARL
2025-07-17T08:05:03.360848793Z,2025-07-17T08:05:03.360683462Z,160,2,1108,A,A,21.330000000,100,0,817597,130,165331,851013,ARL
2025-07-17T08:05:03.361492517Z,2025-07-17T08:05:03.361327319Z,160,2,1108,A,B,5.900000000,100,0,817633,130,165198,851022,ARL
2025-07-17T08:05:03.361497823Z,2025-07-17T08:05:03.361332576Z,160,2,1108,A,A,20.940000000,100,0,817637,130,165247,851023,ARL
2025-07-17T08:09:48.860862095Z,2025-07-17T08:09:48.860696464Z,160,2,1108,C,B,5.510000000,100,0,817593,130,165631,1289631,ARL
2025-07-17T08:09:48.860870885Z,2025-07-17T08:09:48.860705588Z,160,2,1108,A,B,5.370000000,100,0,1263973,130,165297,1289632,ARL
2025-07-17T08:09:49.158061899Z,2025-07-17T08:09:49.157896784Z,160,2,1108,C,B,5.900000000,100,0,817633,130,165115,1290626,ARL
2025-07-17T08:09:49.158069452Z,2025-07-17T08:09:49.157903443Z,160,2,1108,A,B,5.400000000,100,0,1264721,0,166009,1290627,ARL
2025-07-17T08:09:49.158069452Z,2025-07-17T08:09:49.157903798Z,160,2,1108,C,A,20.940000000,100,0,817637,130,165654,1290628,ARL
2025-07-17T08:09:49.158074599Z,2025-07-17T08:09:49.157909054Z,160,2,1108,A,A,21.470000000,100,0,1264725,130,165545,1290629,ARL
2025-07-17T11:00:00.125340914Z,2025-07-17T11:00:00.125174985Z,160,2,1108,C,B,5.370000000,100,0,1263973,130,165929,10583317,ARL
2025-07-17T11:00:00.125347247Z,2025-07-17T11:00:00.125182048Z,160,2,1108,A,B,9.790000000,100,0,12852457,130,165199,10583320,ARL
2025-07-17T11:00:00.125619742Z,2025-07-17T11:00:00.125454029Z,160,2,1108,C,B,5.400000000,100,0,1264721,130,165713,10583363,ARL
2025-07-17T11:00:00.125626050Z,2025-07-17T11:00:00.125460962Z,160,2,1108,A,B,9.840000000,100,0,12852537,130,165088,10583364,ARL
2025-07-17T11:00:07.975990221Z,2025-07-17T11:00:07.975824831Z,160,2,1108,C,A,21.330000000,100,0,817597,130,165390,10674471,ARL
2025-07-17T11:00:07.976003383Z,2025-07-17T11:00:07.975837956Z,160,2,1108,A,A,17.440000000,100,0,12983425,130,165427,10674472,ARL
2025-07-17T11:00:07.976138102Z,2025-07-17T11:00:07.975972618Z,160,2,1108,C,A,21.470000000,100,0,1264725,130,165484,10674473,ARL
2025-07-17T11:00:07.976144724Z,2025-07-17T11:00:07.975979367Z,160,2,1108,A,A,17.360000000,100,0,12983429,130,165357,10674474,ARL
2025-07-17T11:00:08.255140498Z,2025-07-17T11:00:08.254975294Z,160,2,1108,C,A,17.440000000,100,0,12983425,130,165204,10676310,ARL
2025-07-17T11:00:08.255150459Z,2025-07-17T11:00:08.254985173Z,160,2,1108,A,A,18.920000000,100,0,12985397,130,165286,10676311,ARL
2025-07-17T11:00:08.255312226Z,2025-07-17T11:00:08.255147130Z,160,2,1108,C,A,17.360000000,100,0,12983429,130,165096,10676314,ARL
2025-07-17T11:00:08.255320414Z,2025-07-17T11:00:08.255155317Z,160,2,1108,A,A,18.840000000,100,0,12985401,130,165097,10676315,ARL
2025-07-17T11:00:08.256027692Z,2025-07-17T11:00:08.255862656Z,160,2,1108,C,A,18.920000000,100,0,12985397,130,165036,10676320,ARL
2025-07-17T11:00:08.256037075Z,2025-07-17T11:00:08.255871843Z,160,2,1108,A,A,20.620000000,100,0,12985405,130,165232,10676321,ARL
2025-07-17T11:00:08.256333906Z,2025-07-17T11:00:08.256168895Z,160,2,1108,C,A,18.840000000,100,0,12985401,130,165011,10676324,ARL
2025-07-17T11:00:08.256340615Z,2025-07-17T11:00:08.256175346Z,160,2,1108,A,A,20.530000000,100,0,12985413,130,165269,10676325,ARL
2025-07-17T11:00:08.257050282Z,2025-07-17T11:00:08.256885010Z,160,2,1108,C,A,20.620000000,100,0,12985405,130,165272,10676333,ARL
2025-07-17T11:00:08.257058070Z,2025-07-17T11:00:08.256892686Z,160,2,1108,A,A,21.470000000,100,0,12985417,130,165384,10676334,ARL
2025-07-17T11:00:08.257234812Z,2025-07-17T11:00:08.257069458Z,160,2,1108,C,A,20.530000000,100,0,12985413,130,165354,10676335,ARL
2025-07-17T11:00:08.257241334Z,2025-07-17T11:00:08.257076085Z,160,2,1108,A,A,21.470000000,100,0,12985421,130,165249,10676336,ARL
2025-07-17T11:01:05.260586668Z,2025-07-17T11:01:05.260421351Z,160,2,1108,C,A,21.470000000,100,0,12985417,130,165317,10824633,ARL
2025-07-17T11:01:05.260611137Z,2025-07-17T11:01:05.260445703Z,160,2,1108,A,A,17.440000000,100,0,13174157,130,165434,10824634,ARL
2025-07-17T11:01:05.260858436Z,2025-07-17T11:01:05.260693130Z,160,2,1108,C,A,21.470000000,100,0,12985421,130,165306,10824635,ARL
2025-07-17T11:01:05.260874630Z,2025-07-17T11:01:05.260709480Z,160,2,1108,A,A,17.360000000,100,0,13174161,130,165150,10824636,ARL
2025-07-17T11:56:26.691626843Z,2025-07-17T11:56:26.691461161Z,160,2,1108,C,B,9.790000000,100,0,12852457,130,165682,14213017,ARL
2025-07-17T11:56:26.691630539Z,2025-07-17T11:56:26.691465204Z,160,2,1108,C,A,17.440000000,100,0,13174157,130,165335,14213018,ARL
2025-07-17T11:56:26.694933250Z,2025-07-17T11:56:26.694767820Z,160,2,1108,A,B,9.790000000,100,0,19202569,130,165430,14213075,ARL
2025-07-17T11:56:26.694937361Z,2025-07-17T11:56:26.694772016Z,160,2,1108,A,A,17.440000000,100,0,19202573,130,165345,14213076,ARL
2025-07-17T11:56:30.446102409Z,2025-07-17T11:56:30.445937099Z,160,2,1108,C,A,17.440000000,100,0,19202573,130,165310,14219824,ARL
2025-07-17T11:56:30.446117449Z,2025-07-17T11:56:30.445951937Z,160,2,1108,A,A,17.930000000,100,0,19218909,130,165512,14219825,ARL
2025-07-17T11:56:30.446231965Z,2025-07-17T11:56:30.446066952Z,160,2,1108,C,A,17.930000000,100,0,19218909,130,165013,14219826,ARL
2025-07-17T11:56:30.446250148Z,2025-07-17T11:56:30.446084801Z,160,2,1108,A,A,17.440000000,100,0,19218913,130,165347,14219827,ARL
2025-07-17T11:56:30.446357192Z,2025-07-17T11:56:30.446191769Z,160,2,1108,C,A,17.360000000,100,0,13174161,130,165423,14219828,ARL
2025-07-17T11:56:30.446379036Z,2025-07-17T11:56:30.446213519Z,160,2,1108,A,A,17.850000000,100,0,19218917,130,165517,14219829,ARL
2025-07-17T11:56:30.446543637Z,2025-07-17T11:56:30.446378732Z,160,2,1108,C,A,17.850000000,100,0,19218917,130,164905,14219830,ARL
2025-07-17T11:56:30.446723646Z,2025-07-17T11:56:30.446558412Z,160,2,1108,A,A,17.360000000,100,0,19218921,130,165234,14219831,ARL
2025-07-17T11:57:30.222987797Z,2025-07-17T11:57:30.222822537Z,160,2,1108,C,B,9.840000000,100,0,12852537,130,165260,14325877,ARL
2025-07-17T11:57:30.222988778Z,2025-07-17T11:57:30.222823580Z,160,2,1108,C,A,17.360000000,100,0,19218921,130,165198,14325878,ARL
2025-07-17T11:57:30.224151967Z,2025-07-17T11:57:30.223986626Z,160,2,1108,A,B,9.840000000,100,0,19346173,130,165341,14325937,ARL
2025-07-17T11:57:30.224156146Z,2025-07-17T11:57:30.223991040Z,160,2,1108,A,A,17.360000000,100,0,19346177,130,165106,14325938,ARL
2025-07-17T12:30:01.318008785Z,2025-07-17T12:30:01.317842911Z,160,2,1108,A,A,20.480000000,100,0,23570297,130,165874,16864046,ARL
2025-07-17T12:30:03.426465857Z,2025-07-17T12:30:03.426300621Z,160,2,1108,A,B,7.740000000,100,0,23616197,130,165236,16882670,ARL
2025-07-17T12:30:03.426466862Z,2025-07-17T12:30:03.426301523Z,160,2,1108,A,A,20.480000000,100,0,23616201,130,165339,16882671,ARL
2025-07-17T12:30:03.604699168Z,2025-07-17T12:30:03.604533925Z,160,2,1108,A,B,7.740000000,100,0,23622101,130,165243,16886020,ARL
2025-07-17T12:30:51.178394233Z,2025-07-17T12:30:51.178228608Z,160,2,1108,A,A,20.480000000,100,0,24099409,130,165625,17120703,ARL
2025-07-17T12:30:51.643125167Z,2025-07-17T12:30:51.642959794Z,160,2,1108,A,B,7.740000000,100,0,24102329,130,165373,17122998,ARL
2025-07-17T13:15:00.032611736Z,2025-07-17T13:15:00.032446132Z,160,2,1108,C,A,17.440000000,100,0,19218913,130,165604,23080007,ARL
2025-07-17T13:15:00.032651211Z,2025-07-17T13:15:00.032483824Z,160,2,1108,C,B,9.790000000,100,0,19202569,128,167387,23080041,ARL
2025-07-17T13:15:00.058480238Z,2025-07-17T13:15:00.058314138Z,160,2,1108,C,A,17.360000000,100,0,19346177,128,166100,23101369,ARL
2025-07-17T13:15:00.058537384Z,2025-07-17T13:15:00.058371545Z,160,2,1108,C,B,9.840000000,100,0,19346173,130,165839,23101396,ARL
2025-07-17T13:15:01.925239044Z,2025-07-17T13:15:01.925073727Z,160,2,1108,A,B,7.740000000,100,0,31960841,130,165317,23123943,ARL
2025-07-17T13:15:02.042906947Z,2025-07-17T13:15:02.042741730Z,160,2,1108,A,A,20.480000000,100,0,31962113,130,165217,23124563,ARL
2025-07-17T13:17:49.831329888Z,2025-07-17T13:17:49.831164624Z,160,2,1108,A,B,7.740000000,100,0,33574717,130,165264,23465434,ARL
2025-07-17T13:17:49.831709365Z,2025-07-17T13:17:49.831544051Z,160,2,1108,A,A,20.480000000,100,0,33574725,130,165314,23465435,ARL
2025-07-17T13:19:57.597368321Z,2025-07-17T13:19:57.597203040Z,160,2,1108,A,B,8.740000000,100,0,34790041,130,165281,23710201,ARL
2025-07-17T13:19:57.597456270Z,2025-07-17T13:19:57.597291053Z,160,2,1108,A,A,18.350000000,100,0,34790045,130,165217,23710202,ARL
2025-07-17T13:19:58.492785060Z,2025-07-17T13:19:58.492619751Z,160,2,1108,A,A,18.240000000,100,0,34810233,130,165309,23728432,ARL
2025-07-17T13:19:58.492799826Z,2025-07-17T13:19:58.492634480Z,160,2,1108,A,B,9.240000000,100,0,34810241,130,165346,23728435,ARL
2025-07-17T13:20:00.525430361Z,2025-07-17T13:20:00.525263842Z,160,2,1108,C,A,18.240000000,100,0,34810233,0,166519,23765825,ARL
2025-07-17T13:20:00.525430361Z,2025-07-17T13:20:00.525264700Z,160,2,1108,C,B,9.240000000,100,0,34810241,130,165661,23765826,ARL
2025-07-17T13:25:00.157632223Z,2025-07-17T13:25:00.157467184Z,160,2,1108,C,B,8.740000000,100,0,34790041,130,165039,24448205,ARL
2025-07-17T13:25:00.157638512Z,2025-07-17T13:25:00.157473422Z,160,2,1108,C,A,18.350000000,100,0,34790045,130,165090,24448207,ARL
2025-07-17T13:25:01.732485386Z,2025-07-17T13:25:01.732320109Z,160,2,1108,A,B,7.740000000,100,0,38041417,130,165277,24478872,ARL
2025-07-17T13:25:01.819447960Z,2025-07-17T13:25:01.819282823Z,160,2,1108,A,A,20.480000000,100,0,38043741,130,165137,24480276,ARL
2025-07-17T13:28:08.192080463Z,2025-07-17T13:28:08.191915168Z,160,2,1108,A,B,7.740000000,100,0,40617777,130,165295,25597187,ARL
2025-07-17T13:28:08.192147601Z,2025-07-17T13:28:08.191982270Z,160,2,1108,A,A,20.480000000,100,0,40617785,130,165331,25597189,ARL
2025-07-17T13:28:21.011414592Z,2025-07-17T13:28:21.011249114Z,160,2,1108,A,A,18.320000000,700,0,40846101,130,165478,25907820,ARL
2025-07-17T13:28:21.029030365Z,2025-07-17T13:28:21.028865155Z,160,2,1108,A,B,9.290000000,700,0,40851989,130,165210,25917006,ARL
2025-07-17T13:28:30.048895468Z,2025-07-17T13:28:30.048730211Z,160,2,1108,A,B,9.670000000,100,0,40999441,130,165257,26140646,ARL
2025-07-17T13:28:30.048907452Z,2025-07-17T13:28:30.048741690Z,160,2,1108,A,A,17.600000000,100,0,40999449,130,165762,26140658,ARL
2025-07-17T13:28:30.052061798Z,2025-07-17T13:28:30.051894007Z,160,2,1108,A,B,9.990000000,100,0,41000165,130,167791,26142104,ARL
2025-07-17T13:28:30.052072568Z,2025-07-17T13:28:30.051907073Z,160,2,1108,A,A,17.120000000,100,0,41000173,130,165495,26142118,ARL
2025-07-17T13:28:30.257018844Z,2025-07-17T13:28:30.256853564Z,160,2,1108,A,B,9.670000000,100,0,41021369,130,165280,26170917,ARL
2025-07-17T13:28:30.257031156Z,2025-07-17T13:28:30.256865858Z,160,2,1108,A,A,17.600000000,100,0,41021373,130,165298,26170918,ARL
2025-07-17T13:28:30.277622346Z,2025-07-17T13:28:30.277457031Z,160,2,1108,A,B,9.990000000,100,0,41021837,130,165315,26171531,ARL
2025-07-17T13:28:30.277635645Z,2025-07-17T13:28:30.277470320Z,160,2,1108,A,A,17.120000000,100,0,41021841,130,165325,26171533,ARL
2025-07-17T13:28:30.613482667Z,2025-07-17T13:28:30.613317490Z,160,2,1108,A,B,9.130000000,100,0,41032049,130,165177,26182390,ARL
2025-07-17T13:28:30.613495057Z,2025-07-17T13:28:30.613329849Z,160,2,1108,A,A,18.400000000,100,0,41032057,130,165208,26182393,ARL
2025-07-17T13:28:41.476876547Z,2025-07-17T13:28:41.476711173Z,160,2,1108,A,B,7.840000000,100,0,41306441,130,165374,26518296,ARL
2025-07-17T13:28:41.476887975Z,2025-07-17T13:28:41.476722715Z,160,2,1108,A,A,20.320000000,100,0,41306445,130,165260,26518297,ARL
2025-07-17T13:28:46.014904874Z,2025-07-17T13:28:46.014739305Z,160,2,1108,A,A,15.300000000,100,0,41370837,130,165569,26613800,ARL
2025-07-17T13:28:46.014968000Z,2025-07-17T13:28:46.014802018Z,160,2,1108,C,A,20.480000000,100,0,23570297,0,165982,26613836,ARL
2025-07-17T13:28:46.014968000Z,2025-07-17T13:28:46.014802018Z,160,2,1108,A,A,19.580000000,100,0,41370945,130,165982,26613836,ARL
2025-07-17T13:28:46.014969135Z,2025-07-17T13:28:46.014803011Z,160,2,1108,C,A,20.480000000,100,0,23616201,0,166124,26613837,ARL
2025-07-17T13:28:46.014969135Z,2025-07-17T13:28:46.014803011Z,160,2,1108,A,A,19.580000000,100,0,41370949,130,166124,26613837,ARL
2025-07-17T13:28:46.014970699Z,2025-07-17T13:28:46.014804158Z,160,2,1108,C,A,20.480000000,100,0,24099409,0,166541,26613838,ARL
2025-07-17T13:28:46.014970699Z,2025-07-17T13:28:46.014804158Z,160,2,1108,A,A,19.580000000,100,0,41370953,0,166541,26613838,ARL
2025-07-17T13:28:46.014970699Z,2025-07-17T13:28:46.014804564Z,160,2,1108,C,A,20.480000000,100,0,31962113,0,166135,26613839,ARL
2025-07-17T13:28:46.014970699Z,2025-07-17T13:28:46.014804564Z,160,2,1108,A,A,19.580000000,100,0,41370957,130,166135,26613839,ARL
2025-07-17T13:28:46.014972151Z,2025-07-17T13:28:46.014805680Z,160,2,1108,C,A,20.480000000,100,0,33574725,0,166471,26613840,ARL
2025-07-17T13:28:46.014972151Z,2025-07-17T13:28:46.014805680Z,160,2,1108,A,A,19.580000000,100,0,41370961,0,166471,26613840,ARL
2025-07-17T13:28:46.014972151Z,2025-07-17T13:28:46.014805841Z,160,2,1108,C,A,20.480000000,100,0,38043741,0,166310,26613841,ARL
2025-07-17T13:28:46.014972151Z,2025-07-17T13:28:46.014805841Z,160,2,1108,A,A,19.580000000,100,0,41370965,130,166310,26613841,ARL
2025-07-17T13:28:46.014973343Z,2025-07-17T13:28:46.014807086Z,160,2,1108,C,A,20.480000000,100,0,40617785,0,166257,26613842,ARL
2025-07-17T13:28:46.014973343Z,2025-07-17T13:28:46.014807086Z,160,2,1108,A,A,19.580000000,100,0,41370969,130,166257,26613842,ARL
2025-07-17T13:28:46.015690361Z,2025-07-17T13:28:46.015523291Z,160,2,1108,A,B,10.180000000,700,0,41371221,130,167070,26614152,ARL
2025-07-17T13:28:46.015691617Z,2025-07-17T13:28:46.015525315Z,160,2,1108,A,A,16.110000000,700,0,41371225,130,166302,26614155,ARL
2025-07-17T13:28:46.017375168Z,2025-07-17T13:28:46.017209641Z,160,2,1108,C,A,17.120000000,100,0,41000173,0,165527,26614961,ARL
2025-07-17T13:28:46.017375168Z,2025-07-17T13:28:46.017209641Z,160,2,1108,A,A,16.380000000,100,0,41372085,130,165527,26614961,ARL
2025-07-17T13:28:46.017425627Z,2025-07-17T13:28:46.017260228Z,160,2,1108,C,A,17.600000000,100,0,40999449,0,165399,26614991,ARL
2025-07-17T13:28:46.017425627Z,2025-07-17T13:28:46.017260228Z,160,2,1108,A,A,16.830000000,100,0,41372125,130,165399,26614991,ARL
2025-07-17T13:28:46.017696573Z,2025-07-17T13:28:46.017531156Z,160,2,1108,C,A,17.120000000,100,0,41021841,0,165417,26615138,ARL
2025-07-17T13:28:46.017696573Z,2025-07-17T13:28:46.017531156Z,160,2,1108,A,A,16.380000000,100,0,41372369,130,165417,26615138,ARL
2025-07-17T13:28:46.017823073Z,2025-07-17T13:28:46.017657609Z,160,2,1108,C,A,17.600000000,100,0,41021373,0,165464,26615203,ARL
2025-07-17T13:28:46.017823073Z,2025-07-17T13:28:46.017657609Z,160,2,1108,A,A,16.830000000,100,0,41372469,130,165464,26615203,ARL
2025-07-17T13:28:46.017886428Z,2025-07-17T13:28:46.017721028Z,160,2,1108,C,A,18.400000000,100,0,41032057,0,165400,26615230,ARL
2025-07-17T13:28:46.017886428Z,2025-07-17T13:28:46.017721028Z,160,2,1108,A,A,17.600000000,100,0,41372493,130,165400,26615230,ARL
2025-07-17T13:28:46.018003119Z,2025-07-17T13:28:46.017837874Z,160,2,1108,C,A,20.320000000,100,0,41306445,0,165245,26615283,ARL
