,ts_recv,ts_event,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,bid_sz_00,bid_ct_00,ask_px_00,ask_sz_00,ask_ct_00,bid_px_01,bid_sz_01,bid_ct_01,ask_px_01,ask_sz_01,ask_ct_01,bid_px_02,bid_sz_02,bid_ct_02,ask_px_02,ask_sz_02,ask_ct_02,bid_px_03,bid_sz_03,bid_ct_03,ask_px_03,ask_sz_03,ask_ct_03,bid_px_04,bid_sz_04,bid_ct_04,ask_px_04,ask_sz_04,ask_ct_04,bid_px_05,bid_sz_05,bid_ct_05,ask_px_05,ask_sz_05,ask_ct_05,bid_px_06,bid_sz_06,bid_ct_06,ask_px_06,ask_sz_06,ask_ct_06,bid_px_07,bid_sz_07,bid_ct_07,ask_px_07,ask_sz_07,ask_ct_07,bid_px_08,bid_sz_08,bid_ct_08,ask_px_08,ask_sz_08,ask_ct_08,bid_px_09,bid_sz_09,bid_ct_09,ask_px_09,ask_sz_09,ask_ct_09,symbol,order_id
0,2025-07-17T07:05:09.035627674Z,2025-07-17T07:05:09.035627674Z,10,2,1108,R,N,0,,0,8,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,ARL,0
1,2025-07-17T08:05:03.360677248Z,2025-07-17T08:05:03.360677248Z,10,2,1108,A,B,0,5.51,100,130,165200,851012,5.51,100,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,ARL,817593
2,2025-07-17T08:05:03.360683462Z,2025-07-17T08:05:03.360683462Z,10,2,1108,A,A,0,21.33,100,130,165331,851013,5.51,100,1,21.33,100,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,ARL,817597
3,2025-07-17T08:05:03.361327319Z,2025-07-17T08:05:03.361327319Z,10,2,1108,A,B,0,5.9,100,130,165198,851022,5.9,100,1,21.33,100,1,5.51,100,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,ARL,817633
4,2025-07-17T08:05:03.361332576Z,2025-07-17T08:05:03.361332576Z,10,2,1108,A,A,0,20.94,100,130,165247,851023,5.9,100,1,20.94,100,1,5.51,100,1,21.33,100,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,ARL,817637
5,2025-07-17T08:09:48.860696464Z,2025-07-17T08:09:48.860696464Z,10,2,1108,C,B,1,5.51,100,130,165631,1289631,5.9,100,1,20.94,100,1,,0,0,21.33,100,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,ARL,817593
6,2025-07-17T08:09:48.860705588Z,2025-07-17T08:09:48.860705588Z,10,2,1108,A,B,1,5.37,100,130,165297,1289632,5.9,100,1,20.94,100,1,5.37,100,1,21.33,100,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,ARL,1263973
7,2025-07-17T08:09:49.157896784Z,2025-07-17T08:09:49.157896784Z,10,2,1108,C,B,0,5.9,100,130,165115,1290626,5.37,100,1,20.94,100,1,,0,0,21.33,100,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,ARL,817633
8,2025-07-17T08:09:49.157903443Z,2025-07-17T08:09:49.157903443Z,10,2,1108,A,B,0,5.4,100,0,166009,1290627,5.4,100,1,20.94,100,1,5.37,100,1,21.33,100,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,ARL,1264721
9,2025-07-17T08:09:49.157903798Z,2025-07-17T08:09:49.157903798Z,10,2,1108,C,A,0,20.94,100,130,165654,1290628,5.4,100,1,21.33,100,1,5.37,100,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,ARL,817637
